Url,Team1,Team2
/427991/evil-geniuses-vs-loud-champions-tour-2025-americas-kickoff-ur1,"
											
											Evil Geniuses										","
											
											LOUD										"
/427992/mibr-vs-100-thieves-champions-tour-2025-americas-kickoff-ur1,"
											
											MIBR										","
											
											100 Thieves										"
/427993/nrg-esports-vs-cloud9-champions-tour-2025-americas-kickoff-ur1,"
											
											NRG Esports										","
											
											Cloud9										"
/427994/2game-esports-vs-furia-champions-tour-2025-americas-kickoff-ur1,"
											
											2Game Esports										","
											
											FURIA										"
/427995/kr-esports-vs-tbd-champions-tour-2025-americas-kickoff-ubqf,"
											
											KRÜ Esports										","
											
											TBD
										"
/427996/sentinels-vs-tbd-champions-tour-2025-americas-kickoff-ubqf,"
											
											Sentinels										","
											
											TBD
										"
/427997/g2-esports-vs-tbd-champions-tour-2025-americas-kickoff-ubqf,"
											
											G2 Esports										","
											
											TBD
										"
/427998/leviat-n-vs-tbd-champions-tour-2025-americas-kickoff-ubqf,"
											
											LEVIATÁN										","
											
											TBD
										"
/428003/tbd-champions-tour-2025-americas-kickoff-lr1,"
											
											TBD
										","
											
											TBD
										"
/428004/tbd-champions-tour-2025-americas-kickoff-lr1,"
											
											TBD
										","
											
											TBD
										"
/428005/tbd-champions-tour-2025-americas-kickoff-lr1,"
											
											TBD
										","
											
											TBD
										"
/428006/tbd-champions-tour-2025-americas-kickoff-lr1,"
											
											TBD
										","
											
											TBD
										"
/427999/tbd-champions-tour-2025-americas-kickoff-ubsf,"
											
											TBD
										","
											
											TBD
										"
/428000/tbd-champions-tour-2025-americas-kickoff-ubsf,"
											
											TBD
										","
											
											TBD
										"
/428007/tbd-champions-tour-2025-americas-kickoff-lr2,"
											
											TBD
										","
											
											TBD
										"
/428008/tbd-champions-tour-2025-americas-kickoff-lr2,"
											
											TBD
										","
											
											TBD
										"
/428009/tbd-champions-tour-2025-americas-kickoff-lr3,"
											
											TBD
										","
											
											TBD
										"
/428010/tbd-champions-tour-2025-americas-kickoff-lr3,"
											
											TBD
										","
											
											TBD
										"
/428001/tbd-champions-tour-2025-americas-kickoff-ubf,"
											
											TBD
										","
											
											TBD
										"
/428011/tbd-champions-tour-2025-americas-kickoff-lr4,"
											
											TBD
										","
											
											TBD
										"
/428012/tbd-champions-tour-2025-americas-kickoff-lbf,"
											
											TBD
										","
											
											TBD
										"
/428002/tbd-champions-tour-2025-americas-kickoff-gf,"
											
											TBD
										","
											
											TBD
										"
